Sheet [Danh mục] Row 2:  |                 CÔNG TY CỔ PHẦN SÁCH VÀ THIẾT BỊ GIÁO DỤC MIỀN BẮC |  |  |  |  |  |  | 
Sheet [Danh mục] Row 3:  |                         ĐC: Số 24 - 25 liền kề 11, khu đô thị mới Văn Khê, P. La Khê, Q. Hà Đông, TP Hà Nội |  |  |  |  |  |  | 
Sheet [Danh mục] Row 4:  |  Điện thoại : 024.38562011 -  Fax : 024.38562493 |  |  |  |  |  |  | 
Sheet [Danh mục] Row 5:  | Hotline: Mr Đinh Trọng Tâm - TP kinh doanh: 0913 345 231  |  |  |  |  |  |  | 
Sheet [Danh mục] Row 6:  |  Email: kd.stbmb@gmail.com     Website: stbmienbac.vn   |  |  |  |  |  |  | 
Sheet [Danh mục] Row 9: DANH MỤC SÁCH THEO CHƯƠNG TRÌNH GDPT 2018
PHỤC VỤ NĂM HỌC 2023 - 2024 |  |  |  |  |  |  |  | 
Sheet [Danh mục] Row 11: STT | TT | Mã SP | TÊN SÁCH | TÁC GIẢ | QUY CÁCH |  |   GIÁ BÌA 
Sheet [Danh mục] Row 22:  | 7 | G1HH1G001 | Đạo đức 1 (Kết nối tri thức với cuộc sống) | Nguyễn Thị Toan (Tổng Chủ biên), Trần Thành Nam (Chủ biên), Lê Thị Tuyết Mai, Lục Thị Nga |  | 19 x 26,5 | 12,000 | 
Sheet [Danh mục] Row 23:  | 8 | G1HH1M001 | Mĩ thuật 1 (Kết nối tri thức với cuộc sống) | Đinh Gia Lê (Tổng Chủ biên), Trần Thị Biển (Chủ biên), Phạm Duy Anh |  | 19 x 26,5 | 12,000 | 
Sheet [Danh mục] Row 24:  | 9 | G1HH1Q001 | Hoạt động trải nghiệm 1 (Kết nối tri thức với cuộc sống) | Bùi Sỹ Tụng (Tổng Chủ biên), Nguyễn Thanh Bình (Chủ biên), Trần Thị Thu, Vũ Thị Lan Anh, Lê Thị Luận |  | 19 x 26,5 | 15,000 | 
Sheet [Danh mục] Row 25:  | 10 | G1HH1R001 | Âm nhạc 1 (Kết nối tri thức với cuộc sống) | Đỗ Thị Minh Chính (Tổng Chủ biên kiêm Chủ biên), Mai Linh Chi, Nguyễn Thị Phương Mai, Đặng Khánh Nhật, Nguyễn Thị Thanh Vân |  | 19 x 26,5 | 11,000 | 
Sheet [Danh mục] Row 26:  | II | Sách bổ trợ |  |  |  |  |  | 
Sheet [Danh mục] Row 27:  | 1 | G1BH1T001 | Vở bài tập Toán 1, tập 1 (Kết nối tri thức với cuộc sống) | Lê Anh Vinh (Chủ biên), Nguyễn Áng, Vũ Văn Dương, Nguyễn Minh Hải, Bùi Bá Mạnh |  | 17 x 24 | 16,000 | 
Sheet [Danh mục] Row 28:  | 2 | G1BH1T002 | Vở bài tập Toán 1, tập 2  (Kết nối tri thức với cuộc sống) | Lê Anh Vinh (Chủ biên), Nguyễn Áng, Vũ Văn Dương, Nguyễn Minh Hải, Bùi Bá Mạnh, Hoàng Quế Hường |  | 17 x 24 | 16,000 | 
Sheet [Danh mục] Row 29:  | 3 | G1BH1V001 | Vở bài tập Tiếng Việt 1, tập 1 (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng (Chủ biên), Lê Thị Lan Anh, Vũ Thị Thanh Hương, Vũ Thị Lan, Văn Thị Phương Mỹ, Hoàng Minh Ngọc |  | 17 x 24 | 13,000 | 
Sheet [Danh mục] Row 30:  | 4 | G1BH1V002 | Vở bài tập Tiếng Việt 1, tập 2 (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng (Chủ biên), Vũ Kim Bảng, Trịnh Cẩm Lan, Chu Thị Phương, Trần Kim Phượng, Đặng Thị Hảo Tâm |  | 17 x 24 | 13,000 | 
Sheet [Danh mục] Row 31:  | 5 | G1BH1X001 | Vở bài tập Tự nhiên và Xã hội 1 (Kết nối tri thức với cuộc sống) | Vũ Văn Hùng (Chủ biên), Đào Thị Hồng, Phương Hà Lan, Nguyễn Thị Thấn, Hoàng Quý Tỉnh,  |  | 17 x 24 | 13,000 | 
Sheet [Danh mục] Row 32:  | 6 | G1BH1G001 | Vở bài tập Đạo đức 1 (Kết nối tri thức với cuộc sống) | Nguyễn Thị Toan (Chủ biên), Trần Thành Nam, Lê Thị Tuyết Mai, Lục Thị Nga |  | 17 x 24 | 11,000 | 
Sheet [Danh mục] Row 33:  | 7 | G1BH1M001 | Vở bài tập Mĩ thuật 1 (Kết nối tri thức với cuộc sống) | Đinh Gia Lê (Chủ biên), Trần Thị Biển, Phạm Duy Anh |  | 17 x 24 | 10,000 | 
Sheet [Danh mục] Row 34:  | 8 | G1BH1Q001 | Vở bài tập Hoạt động trải nghiệm 1 (Kết nối tri thức với cuộc sống) | Bùi Sỹ Tụng (Chủ biên), Lê Thị Luận, Lưu Danh Văn |  | 17 x 24 | 9,000 | 
Sheet [Danh mục] Row 35:  | 9 | G1BH1R001 | Vở bài tập Âm nhạc 1 (Kết nối tri thức với cuộc sống) | Đỗ Thị Minh Chính (Chủ biên), Mai Linh Chi, Nguyễn Thị Phương Mai, Đặng Khánh Nhật, Nguyễn Thị Thanh Vân |  | 17 x 24 | 8,000 | 
Sheet [Danh mục] Row 36:  | 10 | G1BH1V003 | Tập viết 1, tập 1 (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng, Phạm Kim Chung |  | 17 x 24 | 9,000 | 
Sheet [Danh mục] Row 37:  | 11 | G1BH1V004 | Tập viết 1, tập 2 (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng, Phạm Kim Chung |  | 17 x 24 | 8,000 | 
Sheet [Danh mục] Row 38:  | III | Sách giáo viên |  |  |  |  |  | 
Sheet [Danh mục] Row 39:  | 1 | G1HG1T001 | Toán 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Hà Huy Khoái (Tổng chủ biên) – Lê Anh Vinh (Chủ biên) – Nguyễn Áng – Vũ Văn Dương – Nguyễn Minh Hải – Vũ Văn Luân - Bùi Bá Mạnh   |  | 19 x 26,5 | 40,000 | 
Sheet [Danh mục] Row 40:  | 2 | G1HG1V001 | Tiếng Việt 1, tập một – Sách giáo viên (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng (Tổng chủ biên kiêm Chủ biên) - Lê Thị Lan Anh- Nguyễn Thị Ngân Hoa- Vũ Thị Thanh Hương – Vũ Thị Lan |  | 19 x 26,5 | 99,000 | 
Sheet [Danh mục] Row 41:  | 3 | G1HG1V002 | Tiếng Việt 1, tập hai – Sách giáo viên (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng (Tổng chủ biên kiêm Chủ biên) – Vũ Kim Bảng – Trịnh Cẩm Lan – Chu Thị Phương – Trần Kim Phượng – Đặng Thị Hảo Tâm |  | 19 x 26,5 | 69,000 | 
Sheet [Danh mục] Row 42:  | 4 | G1HG1X001 | Tự nhiên và  xã hội 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Vũ Văn Hùng (Tổng chủ biên) – Nguyễn Thị Thấn (Chủ biên) – Đào Thị Hồng – Phương Hà Lan – Hoàng Quý Tỉnh |  | 19 x 26,5 | 43,000 | 
Sheet [Danh mục] Row 43:  | 5 | G1HG1E001 | Giáo dục  thể chất 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Nguyễn Duy Quyết (Tổng chủ biên) – Lê Anh Thơ (Chủ biên) – Đỗ Mạnh Hưng – Vũ Văn Thịnh – Vũ Thị Hồng Thu – Vũ Thị Thư – Phạm Mai Vương |  | 19 x 26,5 | 39,000 | 
Sheet [Danh mục] Row 44:  | 6 | G1HG1G001 | Đạo đức 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Nguyễn Thị Toan (Tổng chủ biên) – Trần Thành Nam (Chủ biên) – Lê Thị Tuyết Mai – Lục Thị Nga |  | 19 x 26,5 | 34,000 | 
Sheet [Danh mục] Row 45:  | 7 | G1HG1M001 | Mĩ thuật 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Đinh Gia Lê (Tổng chủ biên) – Trần Thị Biển (Chủ biên) – Phạm Duy Anh |  | 19 x 26,5 | 15,000 | 
Sheet [Danh mục] Row 46:  | 8 | G1HG1Q001 | Hoạt động  trải nghiệm 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Bùi Sỹ Tụng (Tổng chủ biên) – Nguyễn Thanh Bình (Chủ biên) – Vũ Thị Lan Anh – Nguyễn Thị Mai Lan – Trần Thị Thu  |  | 19 x 26,5 | 68,000 | 
Sheet [Danh mục] Row 47:  | 9 | G1HG1R001 | Âm nhạc 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Đỗ Thị Minh Chính (Tổng chủ biên kiêm Chủ biên) – Mai Linh Chi – Nguyễn Thị Phương Mai – Đặng Khánh Nhật – Nguyễn Thị Thanh Vân |  | 19 x 26,5 | 27,000 | 
Sheet [Danh mục] Row 48: Bộ " Chân trời sáng tạo" |  |  |  |  |  |  |  | 
Sheet [Danh mục] Row 49:  | I | Sách giáo khoa |  |  |  |  |  | 
Sheet [Danh mục] Row 50:  | 1 | G2HH1T001 | Toán 1 (Chân trời sáng tạo) | Trần Nam Dũng (Tổng Chủ biên), Khúc Thành Chính (Chủ biên), Đinh Thị Xuân Dung, Nguyễn Kính Đức, Đinh Thị Kim Lan, Huỳnh Thị Kim Trang |  | 19 x 26.5 | 28,000 | 
Sheet [Danh mục] Row 51:  | 2 | G2HH1V001 | Tiếng Việt 1, Tập 1 (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên), Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Lương Hải Như, Phạm Thị Kim Oanh, Vũ Minh Tâm, Nguyễn Xuân Tùng |  | 19 x 26.5 | 33,000 | 
Sheet [Danh mục] Row 52:  | 3 | G2HH1V002 | Tiếng Việt 1, Tập 2 (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên), Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Thành Ngọc Bảo, Phạm Vĩnh Lộc, Nguyễn Lương Hải Như, Nguyễn Thị Xuân Yến |  | 19 x 26.5 | 31,000 | 
Sheet [Danh mục] Row 53:  | 4 | G2HH1X001 | Tự nhiên và xã hội 1 (Chân trời sáng tạo) | Đỗ Xuân Hội (Tổng Chủ biên), Nguyễn Thị Thu Hằng (Chủ biên), Phạm Phương Anh, Lưu Phương Thanh Bình, Trần Thị Thu Hiền, Lý Khánh Hoa, Mai Thị Kim Phượng |  | 19 x 26.5 | 24,000 | 
Sheet [Danh mục] Row 54:  | 5 | G2HH1E001 | Giáo dục thể chất 1 (Chân trời sáng tạo) | Phạm Thị Lệ Hằng (Chủ biên), Bùi Ngọc Bích, Trần Thanh Dũng, Lê Hải, Nguyễn Đình Phát, Nguyễn Hoàng Minh Thuận, Trần Minh Tuấn |  | 19 x 26.5 | 16,000 | 
Sheet [Danh mục] Row 55:  | 6 | G2HH1G001 | Đạo đức 1 (Chân trời sáng tạo) | Đinh Phương Duy (Tổng Chủ biên), Trần Thanh Bình (Chủ biên), Trần Minh Hường, Lê Phương Trí, Trần Hoàng Túy |  | 19 x 26.5 | 13,000 | 
Sheet [Danh mục] Row 56:  | 7 | G2HH1M001 | Mĩ thuật 1 (Chân trời sáng tạo) | Nguyễn Xuân Tiên (Tổng Chủ biên), Hoàng Minh Phúc (Chủ biên), Nguyễn Thị Hiền, Nguyễn Minh Thiên Hoàng, Nguyễn Hồng Ngọc, Lâm Yến Như |  | 19 x 26.5 | 13,000 | 
Sheet [Danh mục] Row 57:  | 8 | G2HH1Q001 | Hoạt động trải nghiệm 1 (Chân trời sáng tạo) | Vũ Quang Tuyên (Tổng Chủ biên), Nguyễn Hữu Tâm (Chủ biên), Lê Phương Trí, Nguyễn Thị Hà Liên |  | 19 x 26.5 | 16,000 | 
Sheet [Danh mục] Row 58:  | 9 | G2HH1R001 | Âm nhạc 1 (Chân trời sáng tạo) | Hồ Ngọc Khải (Tổng Chủ biên kiêm Chủ biên), Nguyễn Đăng Bửu, Trần Ngọc Hưng |  | 19 x 26.5 | 12,000 | 
Sheet [Danh mục] Row 59:  | II | Sách bổ trợ |  |  |  |  |  | 
Sheet [Danh mục] Row 60:  | 1 | G2BH1T001 | Vở bài tập Toán 1, tập 1 (Chân trời sáng tạo) | Trần Nam Dũng (Tổng Chủ biên), Khúc Thành Chính (Chủ biên), Đinh Thị Xuân Dung, Nguyễn Kính Đức, Đinh Thị Kim Lan, Huỳnh Thị Kim Trang |  | 17 x 24 | 16,000 | 
Sheet [Danh mục] Row 61:  | 2 | G2BH1T002 | Vở bài tập Toán 1, tập 2 (Chân trời sáng tạo) | Trần Nam Dũng (Tổng Chủ biên), Khúc Thành Chính (Chủ biên), Đinh Thị Xuân Dung, Nguyễn Kính Đức, Đinh Thị Kim Lan, Huỳnh Thị Kim Trang |  | 17 x 24 | 15,000 | 
Sheet [Danh mục] Row 62:  | 3 | G2BH1V001 | Vở bài tập Tiếng Việt 1, Tập 1 (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên), Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Lương Hải Như, Phạm Thị Kim Oanh, Vũ Minh Tâm, Nguyễn Xuân Tùng |  | 17 x 24 | 12,000 | 
Sheet [Danh mục] Row 63:  | 4 | G2BH1V002 | Vở bài tập Tiếng Việt 1 , Tập 2 (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên), Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Thành Ngọc Bảo, Nguyễn Phước Bảo Khôi, Phạm Vĩnh Lộc, Nguyễn Lương Hải Như, Nguyễn Thị Xuân Yến |  | 17 x 24 | 15,000 | 
Sheet [Danh mục] Row 64:  | 5 | G2BH1X001 | Vở bài tập Tự nhiên và Xã hội 1 (Chân trời sáng tạo) | Đỗ Xuân Hội (Tổng Chủ biên), Nguyễn Thị Thu Hằng (Chủ biên), Phạm Phương Anh, Lưu Phương Thanh Bình, Trần Thị Thu Hiền, Lý Khánh Hoa, Mai Thị Kim Phượng |  | 17 x 24 | 16,000 | 
Sheet [Danh mục] Row 65:  | 6 | G2BH1G001 | Vở bài tập Đạo đức 1 (Chân trời sáng tạo) | Trần Thanh Bình (Chủ biên), Mai Khắc Hùng, Trần Minh Hường, Hà Thị Thanh Nga, Lâm Hồng Lãm Thúy, Lê Phương Trí |  | 17 x 24 | 10,000 | 
Sheet [Danh mục] Row 66:  | 7 | G2BH1M001 | Vở bài tập Mĩ thuật 1 (Chân trời sáng tạo) | Nguyễn Xuân Tiên (Tổng Chủ biên), Hoàng Minh Phúc (Chủ biên), Nguyễn Thị Hiền, Nguyễn Minh Thiên Hoàng, Nguyễn Hồng Ngọc, Lâm Yến Như |  | 17 x 24 | 10,000 | 
Sheet [Danh mục] Row 67:  | 8 | G2BH1Q001 | Vở bài tập Hoạt động trải nghiệm 1 (Chân trời sáng tạo) | Vũ Quang Tuyên (Tổng Chủ biên), Nguyễn Hữu Tâm (Chủ biên), Nguyễn Thị Hà Liên, Lê Phương Trí. |  | 17 x 24 | 15,000 | 
Sheet [Danh mục] Row 68:  | 9 | G2BH1R001 | Vở bài tập Âm nhạc 1 (Chân trời sáng tạo) | Hồ Ngọc Khải (Tổng Chủ biên kiêm Chủ biên), Nguyễn Đăng Bửu, Trần Ngọc Hưng, Lâm Đức Vinh |  | 17 x 24 | 13,000 | 
Sheet [Danh mục] Row 69:  | 10 | G2BH1V003 | Tập viết 1, tập 1 (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên), Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Lương Hải Như, Phạm Thị Kim Oanh, Vũ Minh Tâm, Nguyễn Xuân Tùng |  | 17 x 24 | 9,000 | 
Sheet [Danh mục] Row 70:  | 11 | G2BH1V004 | Tập viết 1, tập 2 (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên), Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Thành Ngọc Bảo, Phạm Vĩnh Lộc, Nguyễn Lương Hải Như, Nguyễn Thị Xuân Yến |  | 17 x 24 | 7,000 | 
Sheet [Danh mục] Row 71:  | III | Sách giáo viên |  |  |  |  |  | 
Sheet [Danh mục] Row 72:  | 1 | G2HG1T001 | Toán 1 - Sách giáo viên (Chân trời sáng tạo) | Trần Nam Dũng (Tổng chủ biên) -– Khúc Thành Chính (Chủ biên) - Đinh Thị Xuân Dung - Nguyễn Kính Đức - Đinh Thị Kim Lan - Huỳnh Thị Kim Trang |  | 19 x 26.5 | 56,000 | 
Sheet [Danh mục] Row 73:  | 2 | G2HG1V002 | Tiếng Việt 1, tập một - Sách giáo viên (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên) - Nguyễn Thị Ly Kha (Chủ biên) - Phạm Vĩnh Lộc - Nguyễn Lương Hải Như  - Phạm Thị Kim Oanh - Vũ Minh Tâm - Nguyễn Xuân Tùng  |  | 19 x 26.5 | 104,000 | 
Sheet [Danh mục] Row 74:  | 3 | G2HG1V001 | Tiếng Việt 1, tập hai - Sách giáo viên (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên) – Nguyễn Thị Ly Kha (Chủ biên) – Nguyễn Thành Ngọc Bảo – Nguyễn Phước Bảo Khôi – Nguyễn Lương Hải Như  – Nguyễn Thị Xuân Yến |  | 19 x 26.5 | 89,000 | 
Sheet [Danh mục] Row 75:  | 4 | G2HG1X001 | Tự nhiên và xã hội 1 - Sách giáo viên (Chân trời sáng tạo) | Đỗ Xuân Hội (Tổng Chủ biên) - Nguyễn Thị Thu Hằng (Chủ biên) - Phạm Phương Anh - Lưu Phương Thanh Bình - Trần Thị Thu Hiền - Lý Khánh Hoa - Mai Thị Kim Phượng |  | 19 x 26.5 | 41,000 | 
Sheet [Danh mục] Row 76:  | 5 | G2HG1E001 | Giáo dục thể chất 1 - Sách giáo viên (Chân trời sáng tạo) | Phạm Thị Lệ Hằng (Chủ biên), Bùi Ngọc Bích, Trần Thanh Dũng, Lê Hải, Nguyễn Đình Phát, Nguyễn Hoàng Minh Thuận, Trần Minh Tuấn |  | 19 x 26.5 | 41,000 | 
Sheet [Danh mục] Row 77:  | 6 | G2HG1G001 | Đạo đức 1 - Sách giáo viên (Chân trời sáng tạo) | Đinh Phương Duy (Tổng Chủ biên) - Trần Thanh Bình (Chủ biên) - Mai Khắc Hùng - Trần Minh Hường - Hà Thị Thanh Nga - Lâm Hồng Lãm Thúy - Lê Phương Trí |  | 19 x 26.5 | 23,000 | 
Sheet [Danh mục] Row 78:  | 7 | G2HG1M001 | Mĩ thuật 1 - Sách giáo viên (Chân trời sáng tạo) | Nguyễn Xuân Tiên (Tổng Chủ biên) - Hoàng Minh Phúc (Chủ biên) -Nguyễn Thị Hiền - Nguyễn Minh Thiên Hoàng - Nguyễn Hồng Ngọc - Lâm Yến Như |  | 19 x 26.5 | 20,000 | 
Sheet [Danh mục] Row 79:  | 8 | G2HG1Q001 | Hoạt động trải nghiệm 1 - Sách giáo viên (Chân trời sáng tạo) | Vũ Quang Tuyên (Tổng Chủ biên), Nguyễn Hữu Tâm (Chủ biên), Lê Phương Trí, Nguyễn Thị Hà Liên |  | 19 x 26.5 | 49,000 | 
Sheet [Danh mục] Row 80:  | 9 | G2HG1R001 | Âm nhạc 1 - Sách giáo viên (Chân trời sáng tạo) | Hồ Ngọc Khải (Tổng Chủ biên kiêm Chủ biên) - Nguyễn Đăng Bửu - Trần Ngọc Hưng |  | 19 x 26.5 | 25,000 | 
Sheet [Danh mục] Row 81:  |  | Bộ " Cùng học để phát triển năng lực" |  |  |  |  |  | 
Sheet [Danh mục] Row 82:  | I | Sách giáo khoa |  |  |  |  |  | 
Sheet [Danh mục] Row 83:  | 1 | G3HH1T001 | Toán 1, tập một - Cùng học để phát triển năng lực | Đinh Thế Lục (Tổng chủ biên) - Phan Doãn Thoại (Chủ biên) - Nguyễn Phương Anh - Nguyễn Thị Mỵ - Nguyễn Thị Bích Thuận |  | 19 x 26,5 | 21,000 | 
Sheet [Danh mục] Row 84:  | 2 | G3HH1T002 | Toán 1, tập hai - Cùng học để phát triển năng lực | Đinh Thế Lục (Tổng chủ biên) - Phan Doãn Thoại (Chủ biên) - Nguyễn Phương Anh - Nguyễn Thị Mỵ - Nguyễn Thị Bích Thuận |  | 19 x 26,5 | 18,000 | 
Sheet [Danh mục] Row 85:  | 3 | G3HH1V001 | Tiếng Việt 1, tập một - Cùng học để phát triển năng lực | Nguyễn Thị Hạnh (Chủ biên) - Nguyễn Thị Hương Giang - Nguyễn Lê Hằng - Đặng Thị Lanh - Trần Thị Hiền Lương - Trịnh Cam Ly. |  | 19 x 26,5 | 31,000 | 
Sheet [Danh mục] Row 86:  | 4 | G3HH1V002 | Tiếng Việt 1, tập hai - Cùng học để phát triển năng lực | Nguyễn Thị Hạnh (Chủ biên) - Nguyễn Thị Hương Giang - Nguyễn Lê Hằng - Đặng Thị Lanh - Trần Thị Hiền Lương - Trịnh Cam Ly. |  | 19 x 26,5 | 29,000 | 
Sheet [Danh mục] Row 87:  | 5 | G3HH1X001 | Tự nhiên và Xã hội 1 - Cùng học để phát triển năng lực | Nguyễn Hữu Đĩnh (Tổng chủ biên) - Phan Thanh Hà (Chủ biên) - Nguyễn Thị Thu Hằng - Nguyễn Hồng Liên |  | 19 x 26,5 | 21,000 | 
Sheet [Danh mục] Row 88:  | 6 | G3HH1E001 | Giáo dục thể chất 1 - Cùng học để phát triển năng lực | Hồ Đắc Sơn (Tổng chủ biên kiêm Chủ biên) - Nguyễn Thị Hà - Nguyễn Thành Trung - Nguyễn Duy Tuyến |  | 19 x 26,5 | 18,000 | 
Sheet [Danh mục] Row 89:  | 7 | G3HH1G001 | Đạo đức 1 - Cùng học để phát triển năng lực | Nguyễn Thị Mỹ Lộc (Tổng chủ biên) - Huỳnh Văn Sơn (Chủ biên) - Nguyễn Thị Mỹ Hạnh - Mai Mỹ Hạnh - Nguyễn Thanh Huân - Nguyễn Thị Xuân Phương - Nguyễn Thị Diễm My |  | 19 x 26,5 | 11,000 | 
Sheet [Danh mục] Row 90:  | 8 | G3HH1M001 | Mĩ thuật 1 - Cùng học để phát triển năng lực | Đoàn Thị Mỹ Hương (Tổng chủ biên) - Trịnh Đức Minh - Bạch Ngọc Diệp (Đồng Chủ biên) - Nguyễn Gia Bảy - Nguyễn Quỳnh Nga - Trần Thị Thu Trang |  | 19 x 26,5 | 15,000 | 
Sheet [Danh mục] Row 91:  | 9 | G3HH1Q001 | Hoạt động trải nghiệm 1 - Cùng học để phát triển năng lực | Lưu Thu Thuỷ (Tổng chủ biên) - Nguyễn Thụy Anh (Chủ biên) - Bùi Thị Hương Liên - Lê Thị Thắm |  | 19 x 26,5 | 18,000 | 
Sheet [Danh mục] Row 92:  | 10 | G3HH1R001 | Âm nhạc 1 - Cùng học để phát triển năng lực | Hoàng Long (Tổng chủ biên kiêm Chủ biên) - Nguyễn Thị Thanh Bình - Trần Văn Minh - Nguyễn Thị Nga |  | 19 x 26,5 | 12,000 | 
Sheet [Danh mục] Row 93:  | II | Sách bổ trợ |  |  |  |  |  | 
Sheet [Danh mục] Row 94:  | 1 | G3BH1T001 | Vở bài tập Toán 1, tập một (Cùng học để phát triển năng lực) | Đinh Thế Lục (Tổng chủ biên), Phan Doãn Thoại (Chủ biên), Nguyễn Phương Anh, Nguyễn Thị Mỵ, Trần Thị Kim Thanh, Nguyễn Thị Bích Thuận, Đặng Văn Tuyến |  | 17 x 24 | 14,000 | 
Sheet [Danh mục] Row 95:  | 2 | G3BH1T002 | Vở bài tập Toán 1, tập hai (Cùng học để phát triển năng lực) | Đinh Thế Lục (Tổng chủ biên), Phan Doãn Thoại (Chủ biên), Nguyễn Phương Anh, Nguyễn Thị Mỵ, Trần Thị Kim Thanh, Nguyễn Thị Bích Thuận, Đặng Văn Tuyến |  | 17 x 24 | 12,000 | 
