==================================================
SHEET INDEX 1 : Danh mục
==================================================
Row   2:  |                 CÔNG TY CỔ PHẦN SÁCH VÀ THIẾT BỊ GIÁO DỤC MIỀN BẮC |  |  |  |  |  |  | 
Row   3:  |                         ĐC: Số 24 - 25 liền kề 11, khu đô thị mới Văn Khê, P. La Khê, Q. Hà Đông, TP Hà Nội |  |  |  |  |  |  | 
Row   4:  |  Điện thoại : 024.38562011 -  Fax : 024.38562493 |  |  |  |  |  |  | 
Row   5:  | Hotline: Mr Đinh Trọng Tâm - TP kinh doanh: 0913 345 231  |  |  |  |  |  |  | 
Row   6:  |  Email: kd.stbmb@gmail.com     Website: stbmienbac.vn   |  |  |  |  |  |  | 
Row   9: DANH MỤC SÁCH THEO CHƯƠNG TRÌNH GDPT 2018
PHỤC VỤ NĂM HỌC 2023 - 2024 |  |  |  |  |  |  |  | 
Row  11: STT | TT | Mã SP | TÊN SÁCH | TÁC GIẢ | QUY CÁCH |  |   GIÁ BÌA 
Row  66:  | 7 | G2BH1M001 | Vở bài tập Mĩ thuật 1 (Chân trời sáng tạo) | Nguyễn Xuân Tiên (Tổng Chủ biên), Hoàng Minh Phúc (Chủ biên), Nguyễn Thị Hiền, Nguyễn Minh Thiên Hoàng, Nguyễn Hồng Ngọc, Lâm Yến Như |  | 17 x 24 | 10,000 | 
Row  67:  | 8 | G2BH1Q001 | Vở bài tập Hoạt động trải nghiệm 1 (Chân trời sáng tạo) | Vũ Quang Tuyên (Tổng Chủ biên), Nguyễn Hữu Tâm (Chủ biên), Nguyễn Thị Hà Liên, Lê Phương Trí. |  | 17 x 24 | 15,000 | 
Row  68:  | 9 | G2BH1R001 | Vở bài tập Âm nhạc 1 (Chân trời sáng tạo) | Hồ Ngọc Khải (Tổng Chủ biên kiêm Chủ biên), Nguyễn Đăng Bửu, Trần Ngọc Hưng, Lâm Đức Vinh |  | 17 x 24 | 13,000 | 
Row  69:  | 10 | G2BH1V003 | Tập viết 1, tập 1 (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên), Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Lương Hải Như, Phạm Thị Kim Oanh, Vũ Minh Tâm, Nguyễn Xuân Tùng |  | 17 x 24 | 9,000 | 
Row  70:  | 11 | G2BH1V004 | Tập viết 1, tập 2 (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên), Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Thành Ngọc Bảo, Phạm Vĩnh Lộc, Nguyễn Lương Hải Như, Nguyễn Thị Xuân Yến |  | 17 x 24 | 7,000 | 
Row  71:  | III | Sách giáo viên |  |  |  |  |  | 
Row  72:  | 1 | G2HG1T001 | Toán 1 - Sách giáo viên (Chân trời sáng tạo) | Trần Nam Dũng (Tổng chủ biên) -– Khúc Thành Chính (Chủ biên) - Đinh Thị Xuân Dung - Nguyễn Kính Đức - Đinh Thị Kim Lan - Huỳnh Thị Kim Trang |  | 19 x 26.5 | 56,000 | 
Row  73:  | 2 | G2HG1V002 | Tiếng Việt 1, tập một - Sách giáo viên (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên) - Nguyễn Thị Ly Kha (Chủ biên) - Phạm Vĩnh Lộc - Nguyễn Lương Hải Như  - Phạm Thị Kim Oanh - Vũ Minh Tâm - Nguyễn Xuân Tùng  |  | 19 x 26.5 | 104,000 | 
Row  74:  | 3 | G2HG1V001 | Tiếng Việt 1, tập hai - Sách giáo viên (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên) – Nguyễn Thị Ly Kha (Chủ biên) – Nguyễn Thành Ngọc Bảo – Nguyễn Phước Bảo Khôi – Nguyễn Lương Hải Như  – Nguyễn Thị Xuân Yến |  | 19 x 26.5 | 89,000 | 
Row  75:  | 4 | G2HG1X001 | Tự nhiên và xã hội 1 - Sách giáo viên (Chân trời sáng tạo) | Đỗ Xuân Hội (Tổng Chủ biên) - Nguyễn Thị Thu Hằng (Chủ biên) - Phạm Phương Anh - Lưu Phương Thanh Bình - Trần Thị Thu Hiền - Lý Khánh Hoa - Mai Thị Kim Phượng |  | 19 x 26.5 | 41,000 | 
Row  76:  | 5 | G2HG1E001 | Giáo dục thể chất 1 - Sách giáo viên (Chân trời sáng tạo) | Phạm Thị Lệ Hằng (Chủ biên), Bùi Ngọc Bích, Trần Thanh Dũng, Lê Hải, Nguyễn Đình Phát, Nguyễn Hoàng Minh Thuận, Trần Minh Tuấn |  | 19 x 26.5 | 41,000 | 
Row  77:  | 6 | G2HG1G001 | Đạo đức 1 - Sách giáo viên (Chân trời sáng tạo) | Đinh Phương Duy (Tổng Chủ biên) - Trần Thanh Bình (Chủ biên) - Mai Khắc Hùng - Trần Minh Hường - Hà Thị Thanh Nga - Lâm Hồng Lãm Thúy - Lê Phương Trí |  | 19 x 26.5 | 23,000 | 
Row  78:  | 7 | G2HG1M001 | Mĩ thuật 1 - Sách giáo viên (Chân trời sáng tạo) | Nguyễn Xuân Tiên (Tổng Chủ biên) - Hoàng Minh Phúc (Chủ biên) -Nguyễn Thị Hiền - Nguyễn Minh Thiên Hoàng - Nguyễn Hồng Ngọc - Lâm Yến Như |  | 19 x 26.5 | 20,000 | 
Row  79:  | 8 | G2HG1Q001 | Hoạt động trải nghiệm 1 - Sách giáo viên (Chân trời sáng tạo) | Vũ Quang Tuyên (Tổng Chủ biên), Nguyễn Hữu Tâm (Chủ biên), Lê Phương Trí, Nguyễn Thị Hà Liên |  | 19 x 26.5 | 49,000 | 
Row  80:  | 9 | G2HG1R001 | Âm nhạc 1 - Sách giáo viên (Chân trời sáng tạo) | Hồ Ngọc Khải (Tổng Chủ biên kiêm Chủ biên) - Nguyễn Đăng Bửu - Trần Ngọc Hưng |  | 19 x 26.5 | 25,000 | 
Row  81:  |  | Bộ " Cùng học để phát triển năng lực" |  |  |  |  |  | 
Row  82:  | I | Sách giáo khoa |  |  |  |  |  | 
Row  83:  | 1 | G3HH1T001 | Toán 1, tập một - Cùng học để phát triển năng lực | Đinh Thế Lục (Tổng chủ biên) - Phan Doãn Thoại (Chủ biên) - Nguyễn Phương Anh - Nguyễn Thị Mỵ - Nguyễn Thị Bích Thuận |  | 19 x 26,5 | 21,000 | 
Row  84:  | 2 | G3HH1T002 | Toán 1, tập hai - Cùng học để phát triển năng lực | Đinh Thế Lục (Tổng chủ biên) - Phan Doãn Thoại (Chủ biên) - Nguyễn Phương Anh - Nguyễn Thị Mỵ - Nguyễn Thị Bích Thuận |  | 19 x 26,5 | 18,000 | 
Row  85:  | 3 | G3HH1V001 | Tiếng Việt 1, tập một - Cùng học để phát triển năng lực | Nguyễn Thị Hạnh (Chủ biên) - Nguyễn Thị Hương Giang - Nguyễn Lê Hằng - Đặng Thị Lanh - Trần Thị Hiền Lương - Trịnh Cam Ly. |  | 19 x 26,5 | 31,000 | 
Row  86:  | 4 | G3HH1V002 | Tiếng Việt 1, tập hai - Cùng học để phát triển năng lực | Nguyễn Thị Hạnh (Chủ biên) - Nguyễn Thị Hương Giang - Nguyễn Lê Hằng - Đặng Thị Lanh - Trần Thị Hiền Lương - Trịnh Cam Ly. |  | 19 x 26,5 | 29,000 | 
Row  87:  | 5 | G3HH1X001 | Tự nhiên và Xã hội 1 - Cùng học để phát triển năng lực | Nguyễn Hữu Đĩnh (Tổng chủ biên) - Phan Thanh Hà (Chủ biên) - Nguyễn Thị Thu Hằng - Nguyễn Hồng Liên |  | 19 x 26,5 | 21,000 | 
Row  88:  | 6 | G3HH1E001 | Giáo dục thể chất 1 - Cùng học để phát triển năng lực | Hồ Đắc Sơn (Tổng chủ biên kiêm Chủ biên) - Nguyễn Thị Hà - Nguyễn Thành Trung - Nguyễn Duy Tuyến |  | 19 x 26,5 | 18,000 | 
Row  89:  | 7 | G3HH1G001 | Đạo đức 1 - Cùng học để phát triển năng lực | Nguyễn Thị Mỹ Lộc (Tổng chủ biên) - Huỳnh Văn Sơn (Chủ biên) - Nguyễn Thị Mỹ Hạnh - Mai Mỹ Hạnh - Nguyễn Thanh Huân - Nguyễn Thị Xuân Phương - Nguyễn Thị Diễm My |  | 19 x 26,5 | 11,000 | 
Row  90:  | 8 | G3HH1M001 | Mĩ thuật 1 - Cùng học để phát triển năng lực | Đoàn Thị Mỹ Hương (Tổng chủ biên) - Trịnh Đức Minh - Bạch Ngọc Diệp (Đồng Chủ biên) - Nguyễn Gia Bảy - Nguyễn Quỳnh Nga - Trần Thị Thu Trang |  | 19 x 26,5 | 15,000 | 
Row  91:  | 9 | G3HH1Q001 | Hoạt động trải nghiệm 1 - Cùng học để phát triển năng lực | Lưu Thu Thuỷ (Tổng chủ biên) - Nguyễn Thụy Anh (Chủ biên) - Bùi Thị Hương Liên - Lê Thị Thắm |  | 19 x 26,5 | 18,000 | 
Row  92:  | 10 | G3HH1R001 | Âm nhạc 1 - Cùng học để phát triển năng lực | Hoàng Long (Tổng chủ biên kiêm Chủ biên) - Nguyễn Thị Thanh Bình - Trần Văn Minh - Nguyễn Thị Nga |  | 19 x 26,5 | 12,000 | 
Row  93:  | II | Sách bổ trợ |  |  |  |  |  | 
Row  94:  | 1 | G3BH1T001 | Vở bài tập Toán 1, tập một (Cùng học để phát triển năng lực) | Đinh Thế Lục (Tổng chủ biên), Phan Doãn Thoại (Chủ biên), Nguyễn Phương Anh, Nguyễn Thị Mỵ, Trần Thị Kim Thanh, Nguyễn Thị Bích Thuận, Đặng Văn Tuyến |  | 17 x 24 | 14,000 | 
Row  95:  | 2 | G3BH1T002 | Vở bài tập Toán 1, tập hai (Cùng học để phát triển năng lực) | Đinh Thế Lục (Tổng chủ biên), Phan Doãn Thoại (Chủ biên), Nguyễn Phương Anh, Nguyễn Thị Mỵ, Trần Thị Kim Thanh, Nguyễn Thị Bích Thuận, Đặng Văn Tuyến |  | 17 x 24 | 12,000 | 
Row  96:  | 3 | G3BH1V002 | Vở bài tập Tiếng Việt 1,  tập một (Cùng học để phát triển năng lực) | Nguyễn Thị Hạnh (Chủ biên), Nguyễn Thị Hương Giang, Nguyễn Lê Hằng, Đặng Thị Lanh, Trần Thị Hiền Lương, Trịnh Cam Ly |  | 17 x 24 | 16,000 | 
Row  97:  | 4 | G3BH1V003 | Vở bài tập Tiếng Việt 1,  tập hai (Cùng học để phát triển năng lực) | Nguyễn Thị Hạnh (Chủ biên), Nguyễn Thị Hương Giang, Nguyễn Lê Hằng, Đặng Thị Lanh, Trần Thị Hiền Lương, Trịnh Cam Ly |  | 17 x 24 | 14,000 | 
Row  98:  | 5 | G3BH1X001 | Vở bài tập Tự nhiên và Xã hội 1 (Cùng học để phát triển năng lực) | Nguyễn Hữu Đĩnh (Tổng chủ biên), Phan Thanh Hà (Chủ biên), Nguyễn Thị Thu Hằng, Nguyễn Hồng Liên |  | 17 x 24 | 11,000 | 
Row  99:  | 6 | G3BH1G001 | Vở bài tập Đạo đức 1 (Cùng học để phát triển năng lực) | Nguyễn Thị Mỹ Lộc (Tổng chủ biên), Huỳnh Văn Sơn (Chủ biên) Nguyễn Thị Mỹ Hạnh, Mai Mỹ Hạnh, Nguyễn Thanh Huân, Nguyễn Thị Diễm My, Nguyễn Thị Xuân Phương |  | 17 x 24 | 9,000 | 
Row 100:  | 7 | G3BH1M001 | Vở bài tập Mĩ thuật 1 (Cùng học để phát triển năng lực) | Đoàn Thị Mĩ Hương (Tổng chủ biên), Trịnh Đức Minh, Bạch Ngọc Diệp (Đồng Chủ biên), Nguyễn Gia Bảy, Nguyễn Quỳnh Nga, Trẩn Thị Thu Trang |  | 26,5 x 19 | 15,000 | 
Row 101:  | 8 | G3BH1V001 | Tập viết 1,  tập một (Cùng học để phát triển năng lực) | Nguyễn Thị Hạnh (Chủ biên), Đặng Thị Lanh |  | 17 x 24 | 7,000 | 
Row 102:  | 9 | G3BH1V004 | Tập viết 1,  tập hai (Cùng học để phát triển năng lực) | Nguyễn Thị Hạnh (Chủ biên), Đặng Thị Lanh, Trần Thị Hiền Lương |  | 17 x 24 | 6,000 | 
Row 103:  | III | Sách giáo viên |  |  |  |  |  | 
